species,sex,chromosome,count,p.value,enrichment,chr.pseudo
Cbr,female,I,839,8.2004766768091e-27,1.70263383101557,1
Cbr,female,II,729,1.46497518463115e-06,1.27489833447381,2
Cbr,female,III,694,9.63913604286405e-12,1.42912012669664,3
Cbr,female,IV,733,7.73083520279638e-07,1.28349018341238,4
Cbr,female,V,619,2.38991968821887e-19,0.643634494818766,5
Cbr,female,X,325,5.37427239966853e-75,0.347358307188281,6
Cbr,male,I,581,0.0515323227999061,0.902343811141913,1
Cbr,male,II,647,0.27773763835698,1.05807459940015,2
Cbr,male,III,506,0.00524979800542737,0.855888691838584,3
Cbr,male,IV,594,0.0932240109844856,0.915050437771016,4
Cbr,male,V,831,0.104487689800389,1.0788872957024,5
Cbr,male,X,726,0.00091621184397786,1.18016339327042,6
Cbr,sex-neutral,I,736,6.26882762106362e-17,0.666272152956112,1
Cbr,sex-neutral,II,805,3.90900407803564e-08,0.767829839873038,2
Cbr,sex-neutral,III,744,0.000132679076427459,0.825681824447486,3
Cbr,sex-neutral,IV,858,0.00228034147301314,0.864366332542828,4
Cbr,sex-neutral,V,1326,4.13553493943744e-11,1.3271167180967,5
Cbr,sex-neutral,X,1249,1.76805482116102e-37,1.80103238364532,6
Cni,female,I,677,9.79270835124056e-06,1.25631755229152,1
Cni,female,II,651,0.0122031971042019,1.13774463061558,2
Cni,female,III,616,8.69184627313101e-06,1.2690890640866,3
Cni,female,IV,643,0.0418049324640479,1.11147826394947,4
Cni,female,V,673,2.18327010718535e-05,0.812584988756121,5
Cni,female,X,465,3.01709707817638e-18,0.623005180661541,6
Cni,male,I,666,0.218048733954855,1.06472203342157,1
Cni,male,II,677,0.241273358808056,1.06133899189412,2
Cni,male,III,580,0.978640875304721,1.0020622203873,3
Cni,male,IV,625,0.133032843176863,0.924896908127109,4
Cni,male,V,786,0.0627278879027286,0.915634189529311,5
Cni,male,X,707,0.27117113718769,1.05669757833318,6
Cni,sex-neutral,I,817,2.06148360841911e-07,0.779462101777656,1
Cni,sex-neutral,II,872,0.000832441271404736,0.852644983529421,2
Cni,sex-neutral,III,753,4.46989016457272e-05,0.814758698971743,3
Cni,sex-neutral,IV,935,0.655104825414557,0.978856316009538,4
Cni,sex-neutral,V,1321,3.32557900804001e-08,1.26642065577866,5
Cni,sex-neutral,X,1132,3.77646771793682e-11,1.35561941282115,6
F1,female,I,1211,5.40312437986329e-56,2.10481181131498,1
F1,female,II,1005,8.29433855930054e-08,1.28685038869623,2
F1,female,III,1059,6.90264515230766e-40,1.91509550135544,3
F1,female,IV,990,5.38140133287832e-06,1.23911345788232,4
F1,female,V,854,1.41939249832658e-33,0.583774804752215,5
F1,female,X,397,8.55027018204071e-151,0.252084966863196,6
F1,male,I,719,1.06828293487252e-22,0.620718199838044,1
F1,male,II,885,0.0110543580998362,0.886088047517231,2
F1,male,III,666,7.20741712583891e-17,0.655734884259822,3
F1,male,IV,876,0.00207812126486524,0.864409221982844,4
F1,male,V,1366,7.7763447739128e-14,1.37630151804701,5
F1,male,X,1301,5.0115294843121e-48,1.95326623993814,6
F1,sex-neutral,I,238,5.59092350937443e-17,0.560759854217063,1
F1,sex-neutral,II,313,0.000193454226557177,0.784753529953645,2
F1,sex-neutral,III,230,1.30702387279646e-11,0.617119788925381,3
F1,sex-neutral,IV,342,0.0544703548798385,0.883543539094248,4
F1,sex-neutral,V,573,2.34392165526184e-08,1.35741940977373,5
F1,sex-neutral,X,609,4.19844253724694e-37,2.0365775374502,6
